trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
272,False,"{'a': 0.99, 'e': 0.06497898609824965}",30,17,20.96775784573193,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.99, 'e': 0.06432919623726716}",20,10,19.649945425869245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.99, 'e': 0.06368590427489448}",30,22,17.161769290271383,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.99, 'e': 0.06304904523214554}",30,9,27.917865497204698,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.99, 'e': 0.06241855477982408}",20,8,17.963828186981573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.99, 'e': 0.06179436923202584}",25,18,12.174340829499133,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.99, 'e': 0.06117642553970558}",20,7,-41.93992848928196,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
279,False,"{'a': 0.99, 'e': 0.06056466128430853}",30,4,28.961057444660682,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.99, 'e': 0.05995901467146544}",30,14,17.232553823210225,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.99, 'e': 0.059359424524750785}",20,16,7.933051641229872,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.99, 'e': 0.05876583027950327}",25,1,9.170021331976525,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
283,False,"{'a': 0.99, 'e': 0.05817817197670824}",20,12,14.405309453436725,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.99, 'e': 0.05759639025694116}",20,6,-0.8548219753268125,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
285,False,"{'a': 0.99, 'e': 0.057020426354371746}",20,13,13.330987162927132,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.99, 'e': 0.05645022209082803}",30,16,27.61080974938792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.99, 'e': 0.05588571986991975}",30,15,17.681527456742785,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.99, 'e': 0.05532686267122055}",20,16,6.600770998136817,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.99, 'e': 0.05477359404450834}",25,6,37.135231835658956,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.99, 'e': 0.05422585810406326}",20,14,7.3049378951869475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
